句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
deepseek-3.2-thinking,沁园春,白玉兰吟,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,deepseek-3.2-thinking,沁园春,白玉兰前作,玉骨冰肌,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,遇玉兰有感,见玉骨冰肌自傲霜,deepseek-3.2-thinking,沁园春,玉兰新悟,叹冰姿傲骨,0.8611,0.1538,0.7073
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰新绽,冰姿玉骨,0.9566,0.2500,0.7066
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,白玉兰感怀,冰姿玉骨,0.9566,0.2500,0.7066
deepseek-3.2-thinking,沁园春,玉兰新悟,觉尘烦尽洗,qwen3.6-plus,沁园春,玉兰赋志,洗尽尘襟俗虑消,0.8695,0.1667,0.7028
deepseek-3.2-thinking,沁园春,遇玉兰有感,见玉骨冰肌自傲霜,deepseek-3.2-thinking,沁园春,玉兰吟,冰心傲骨,0.8649,0.1667,0.6983
deepseek-3.2-thinking,沁园春,见玉兰有感,冰姿玉骨香扬,qwen3.6-plus,沁园春,玉兰见志,冰肌素萼清颜,0.8602,0.1667,0.6935
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9406,0.2500,0.6906
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,见玉兰有感,冰姿玉骨香扬,0.8885,0.2000,0.6885
deepseek-3.2-thinking,沁园春,白玉兰赋,玉骨冰姿,deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,0.9098,0.2222,0.6876
deepseek-3.2-thinking,沁园春,白玉兰感怀,独对青灯夜不眠,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8535,0.1667,0.6869
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8857,0.2000,0.6857
deepseek-3.2-thinking,沁园春,白玉兰赋,玉骨冰姿,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.9076,0.2222,0.6853
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰感赋,想冰姿玉骨,0.9053,0.2222,0.6830
deepseek-3.2-thinking,沁园春,玉兰感遇,念冰肌傲雪,deepseek-3.2-thinking,沁园春,玉兰感赋,想冰姿玉骨,0.8829,0.2000,0.6829
doubao-seed-2.0-pro,沁园春,观玉兰偶作,一树冰花绽玉柔,deepseek-3.2-thinking,沁园春,玉兰见志,玉兰绽雪,0.8635,0.1818,0.6817
doubao-seed-2.0-pro,沁园春,校中观玉兰有作,纵雨侵霜压,deepseek-3.2-thinking,沁园春,玉兰寄怀,任霜侵雨打,0.8815,0.2000,0.6815
deepseek-3.2-thinking,沁园春,玉兰新绽,冰姿玉骨,qwen3.6-plus,沁园春,玉兰见志,冰肌素萼清颜,0.8811,0.2000,0.6811
deepseek-3.2-thinking,沁园春,白玉兰感怀,冰姿玉骨,qwen3.6-plus,沁园春,玉兰见志,冰肌素萼清颜,0.8811,0.2000,0.6811
deepseek-3.2-thinking,沁园春,玉兰感遇,念冰肌傲雪,deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,0.8802,0.2000,0.6802
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.9014,0.2222,0.6791
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.9014,0.2222,0.6791
deepseek-3.2-thinking,沁园春,白玉兰开有感,悟得生机,deepseek-3.2-thinking,沁园春,玉兰新悟,生命真谛渐悟些,0.8609,0.1818,0.6791
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,0.8997,0.2222,0.6775
deepseek-3.2-thinking,沁园春,玉兰咏怀,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,白玉兰赋,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,玉兰赋,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,白玉兰赋,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,白玉兰感遇,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,玉兰赋,冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,deepseek-3.2-thinking,沁园春,玉兰新悟,冰肌雪魄,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,deepseek-3.2-thinking,沁园春,玉兰吟,冰肌雪魄,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,deepseek-3.2-thinking,沁园春,玉兰赋,冰肌雪魄,0.9271,0.2500,0.6771
deepseek-3.2-thinking,沁园春,白玉兰赋,玉骨冰姿,qwen3.6-plus,沁园春,玉兰见志,冰肌素萼清颜,0.8768,0.2000,0.6768
doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,讶冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.8986,0.2222,0.6763
doubao-seed-2.0-pro,沁园春,校中观玉兰感作,纵风摧雨妒,deepseek-3.2-thinking,沁园春,玉兰春醒,任雨摧风虐,0.8742,0.2000,0.6742
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,qwen3.6-plus,沁园春,玉兰见志,冰肌素萼清颜,0.8741,0.2000,0.6741
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,0.8952,0.2222,0.6730
doubao-seed-2.0-pro,沁园春,檐下见玉兰作,看冰姿玉骨,deepseek-3.2-thinking,沁园春,玉兰感遇,念冰肌傲雪,0.8726,0.2000,0.6726
deepseek-3.2-thinking,沁园春,白玉兰赋,玉骨冰姿,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9222,0.2500,0.6722
doubao-seed-2.0-pro,沁园春,寓舍前观玉兰作,纵雨欺霜压,qwen3.6-plus,沁园春,玉兰照眼,任风欺雨虐,0.8717,0.2000,0.6717
doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,纵雨欺霜压,qwen3.6-plus,沁园春,玉兰照眼,任风欺雨虐,0.8717,0.2000,0.6717
qwen3.6-plus,沁园春,玉兰启怀,偶步闲庭,qwen3.6-plus,沁园春,玉兰偶悟,闲阶独步徐旋,0.8717,0.2000,0.6717
deepseek-3.2-thinking,沁园春,见玉兰有感,冰肌胜雪,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9203,0.2500,0.6703
doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,讶冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰感赋,想冰姿玉骨,0.8698,0.2000,0.6698
doubao-seed-2.0-pro,沁园春,观玉兰遣怀,冰肌抱雪,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9191,0.2500,0.6691
deepseek-3.2-thinking,沁园春,春暮见玉兰有感,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,春暮见玉兰有感,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,玉兰吟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,玉兰吟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,玉兰新悟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,玉兰新悟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,白玉兰开,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,白玉兰开,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,deepseek-3.2-thinking,沁园春,白玉兰吟,玉质冰心,0.8900,0.2222,0.6678
deepseek-3.2-thinking,沁园春,白玉兰吟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8900,0.2222,0.6678
doubao-seed-2.0-pro,沁园春,檐下见玉兰作,看冰姿玉骨,deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,0.8893,0.2222,0.6671
deepseek-3.2-thinking,沁园春,玉兰感遇,念冰肌傲雪,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.8893,0.2222,0.6670
deepseek-3.2-thinking,沁园春,玉兰咏怀,清姿傲骨,deepseek-3.2-thinking,沁园春,见玉兰有感,冰肌玉骨清高,0.8656,0.2000,0.6656
deepseek-3.2-thinking,沁园春,玉兰见志,清姿傲骨,deepseek-3.2-thinking,沁园春,见玉兰有感,冰肌玉骨清高,0.8656,0.2000,0.6656
doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,闷倚阑干,deepseek-3.2-thinking,沁园春,玉兰新悟,独倚栏杆,0.9146,0.2500,0.6646
doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,闷倚阑干,deepseek-3.2-thinking,沁园春,见玉兰有感,独倚栏杆,0.9146,0.2500,0.6646
doubao-seed-2.0-pro,沁园春,春暮见檐下玉兰感作,闷倚阑干,deepseek-3.2-thinking,沁园春,玉兰新悟,独倚栏杆,0.9146,0.2500,0.6646
doubao-seed-2.0-pro,沁园春,春暮见檐下玉兰感作,闷倚阑干,deepseek-3.2-thinking,沁园春,见玉兰有感,独倚栏杆,0.9146,0.2500,0.6646
deepseek-3.2-thinking,沁园春,春暮见玉兰有感,玉质冰心,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8640,0.2000,0.6640
deepseek-3.2-thinking,沁园春,玉兰吟,玉质冰心,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8640,0.2000,0.6640
deepseek-3.2-thinking,沁园春,玉兰新悟,玉质冰心,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8640,0.2000,0.6640
deepseek-3.2-thinking,沁园春,白玉兰开,玉质冰心,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8640,0.2000,0.6640
deepseek-3.2-thinking,沁园春,白玉兰吟,玉质冰心,qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,0.8640,0.2000,0.6640
doubao-seed-2.0-pro,沁园春,檐下见玉兰作,看冰姿玉骨,doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,讶冰肌雪魄,0.8637,0.2000,0.6637
doubao-seed-2.0-pro,沁园春,校园观玉兰有感,见冰姿玉削,qwen3.6-plus,沁园春,玉兰照夜,看冰肌立雪,0.8628,0.2000,0.6628
deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨冰心,deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,玉兰春醒,玉骨冰心,deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,白玉兰下感怀,玉骨冰心,deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,玉兰感怀,想冰肌雪骨,deepseek-3.2-thinking,沁园春,玉兰新开,玉骨冰心,0.8841,0.2222,0.6619
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,白玉兰赋,玉骨冰姿,0.8829,0.2222,0.6607
deepseek-3.2-thinking,沁园春,春暮见玉兰有感,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,0.8826,0.2222,0.6604
deepseek-3.2-thinking,沁园春,玉兰吟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,0.8826,0.2222,0.6604
deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,deepseek-3.2-thinking,沁园春,玉兰新悟,玉质冰心,0.8826,0.2222,0.6604
deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,deepseek-3.2-thinking,沁园春,白玉兰开,玉质冰心,0.8826,0.2222,0.6604
deepseek-3.2-thinking,沁园春,玉兰寄怀,感冰姿玉骨,deepseek-3.2-thinking,沁园春,白玉兰吟,玉质冰心,0.8826,0.2222,0.6604
deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,qwen3.6-plus,沁园春,玉兰初绽有感,看冰肌傲雪,0.8824,0.2222,0.6602
doubao-seed-2.0-pro,沁园春,校园观玉兰有感,见冰姿玉削,qwen3.6-plus,沁园春,玉兰初绽有感,看冰肌傲雪,0.8599,0.2000,0.6599
deepseek-3.2-thinking,沁园春,玉兰感赋,泪沾衫袖,deepseek-3.2-thinking,沁园春,玉兰悟,衣衫泪渍,0.9094,0.2500,0.6594
deepseek-3.2-thinking,沁园春,白玉兰开,雪姿清绝,deepseek-3.2-thinking,沁园春,玉兰悟,清姿傲雪,0.9093,0.2500,0.6593
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨清姿,0.9091,0.2500,0.6591
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,见玉兰感怀,玉骨清姿,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,春衫渍泪,doubao-seed-2.0-pro,沁园春,校园观玉兰抒怀,泪渍春衣,0.9091,0.2500,0.6591
doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,冰肤玉骨亭亭,deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,0.8587,0.2000,0.6587
deepseek-3.2-thinking,沁园春,春暮见玉兰有感,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,0.8806,0.2222,0.6584
deepseek-3.2-thinking,沁园春,玉兰吟,玉质冰心,deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,0.8806,0.2222,0.6584
deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,deepseek-3.2-thinking,沁园春,玉兰新悟,玉质冰心,0.8806,0.2222,0.6584
deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,deepseek-3.2-thinking,沁园春,白玉兰开,玉质冰心,0.8806,0.2222,0.6584
deepseek-3.2-thinking,沁园春,玉兰新悟,效冰姿玉骨,deepseek-3.2-thinking,沁园春,白玉兰吟,玉质冰心,0.8806,0.2222,0.6584
doubao-seed-2.0-pro,沁园春,寓所见玉兰感作,见冰肌缀玉,doubao-seed-2.0-pro,沁园春,校中观玉兰有感,爱冰肤凝雪,0.8579,0.2000,0.6579
doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,讶冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,0.8579,0.2000,0.6579
doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,讶冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,0.8579,0.2000,0.6579
deepseek-3.2-thinking,沁园春,玉兰赋,想冰心玉质,deepseek-3.2-thinking,沁园春,遇玉兰有感,念冰姿雪魄,0.8576,0.2000,0.6576
doubao-seed-2.0-pro,沁园春,见玉兰感怀,素瓣凝香,deepseek-3.2-thinking,沁园春,见玉兰有感,香凝素萼,0.9074,0.2500,0.6574
deepseek-3.2-thinking,沁园春,见玉兰有感,素蕊含霜,qwen3.6-plus,沁园春,玉兰吟,素葩凝露,0.9074,0.2500,0.6574
deepseek-3.2-thinking,沁园春,玉兰初绽寄怀,琼苞乍绽,deepseek-3.2-thinking,沁园春,玉兰新悟,琼枝玉蕾初开,0.8572,0.2000,0.6572
deepseek-3.2-thinking,沁园春,白玉兰感怀,独对夜窗,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8793,0.2222,0.6571
qwen3.6-plus,沁园春,玉兰引,独对夜窗,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8793,0.2222,0.6571
doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,雪萼凝柔,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,素苞凝雪,0.9057,0.2500,0.6557
doubao-seed-2.0-pro,沁园春,春日见玉兰作,看冰肌凝玉,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.8778,0.2222,0.6556
deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,deepseek-3.2-thinking,沁园春,玉兰春悟,清姿玉骨,0.9052,0.2500,0.6552
doubao-seed-2.0-pro,沁园春,春日见玉兰作,冷透征衫,doubao-seed-2.0-pro,沁园春,寓所观玉兰有感,春衫寒透,0.9051,0.2500,0.6551
doubao-seed-2.0-pro,沁园春,寓所观玉兰有感,春衫寒透,qwen3.6-plus,沁园春,玉兰初绽有怀,冷透征衫,0.9051,0.2500,0.6551
deepseek-3.2-thinking,沁园春,玉兰吟,芳心皎洁,qwen3.6-plus,沁园春,玉兰有感,皎皎冰心,0.9051,0.2500,0.6551
deepseek-3.2-thinking,沁园春,见玉兰有感,冰姿玉骨香扬,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.8549,0.2000,0.6549
deepseek-3.2-thinking,沁园春,玉兰新悟,念冰姿玉骨,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.8771,0.2222,0.6549
deepseek-3.2-thinking,沁园春,玉兰,念冰姿玉骨,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.8771,0.2222,0.6549
deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
deepseek-3.2-thinking,沁园春,玉兰春醒,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
deepseek-3.2-thinking,沁园春,白玉兰下感怀,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
deepseek-3.2-thinking,沁园春,玉兰新开,玉骨冰心,qwen3.6-plus,沁园春,见玉兰有作,叹冰肌雪骨,0.8768,0.2222,0.6545
doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,纵寒凝素萼,qwen3.6-plus,沁园春,白玉兰,正素华凝雪,0.8543,0.2000,0.6543
doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,纵寒凝素萼,qwen3.6-plus,沁园春,白玉兰见怀,正素华凝雪,0.8543,0.2000,0.6543
doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,纵寒凝素萼,qwen3.6-plus,沁园春,玉兰树下有感,正素华凝雪,0.8543,0.2000,0.6543
qwen3.6-plus,沁园春,玉兰有感,冰姿玉骨天成,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.8539,0.2000,0.6539
doubao-seed-2.0-pro,沁园春,寓所见玉兰感作,见冰肌缀玉,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.8758,0.2222,0.6536
deepseek-3.2-thinking,沁园春,玉兰悟,凌霜傲冷,deepseek-3.2-thinking,沁园春,玉兰新悟,傲霜凌雪,0.9032,0.2500,0.6532
deepseek-3.2-thinking,沁园春,玉兰新悟,觉尘烦尽洗,deepseek-3.2-thinking,沁园春,白玉兰吟,洗净烦嚣,0.8753,0.2222,0.6530
qwen3.6-plus,沁园春,见玉兰有感,独对寒檠,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8748,0.2222,0.6526
qwen3.6-plus,沁园春,见白玉兰有感,独对寒檠,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8748,0.2222,0.6526
deepseek-3.2-thinking,沁园春,玉兰新绽,冰姿玉骨,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.9022,0.2500,0.6522
deepseek-3.2-thinking,沁园春,白玉兰感怀,冰姿玉骨,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.9022,0.2500,0.6522
doubao-seed-2.0-pro,沁园春,校园见玉兰花作,素瓣裁云,doubao-seed-2.0-pro,沁园春,校苑见玉兰感作,正云裁玉瓣,0.8743,0.2222,0.6520
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,玉兰春醒,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,白玉兰下感怀,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,玉兰吟,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,念冰肌傲骨,deepseek-3.2-thinking,沁园春,玉兰新开,玉骨冰心,0.8742,0.2222,0.6519
deepseek-3.2-thinking,沁园春,玉兰见志,独对残灯,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8737,0.2222,0.6514
qwen3.6-plus,沁园春,白玉兰下作,独对残灯,gemini-3.1-pro,沁园春,春夜咏白玉兰遣怀,对孤灯独坐,0.8737,0.2222,0.6514
deepseek-3.2-thinking,沁园春,玉兰春悟,清姿玉骨,qwen3.6-plus,沁园春,玉兰树下有感,玉质冰清,0.9014,0.2500,0.6514
