db,db_label,prompt_type,model,bucket,count,ratio
b2,五词牌-改革主题,type_d,gemini-3.1-pro,80_99,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,60_79,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,1_59,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,0,0,0.000000
b2,五词牌-改革主题,type_d,glm-5,100,20,0.317460
b2,五词牌-改革主题,type_d,glm-5,80_99,3,0.047619
b2,五词牌-改革主题,type_d,glm-5,60_79,6,0.095238
b2,五词牌-改革主题,type_d,glm-5,1_59,8,0.126984
b2,五词牌-改革主题,type_d,glm-5,0,26,0.412698
b2,五词牌-改革主题,type_d,qwen3.6-plus,100,71,0.440994
b2,五词牌-改革主题,type_d,qwen3.6-plus,80_99,10,0.062112
b2,五词牌-改革主题,type_d,qwen3.6-plus,60_79,18,0.111801
b2,五词牌-改革主题,type_d,qwen3.6-plus,1_59,6,0.037267
b2,五词牌-改革主题,type_d,qwen3.6-plus,0,56,0.347826
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,100,64,0.320000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,80_99,21,0.105000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,60_79,28,0.140000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,1_59,22,0.110000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,0,65,0.325000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,100,133,0.665000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,80_99,23,0.115000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,60_79,28,0.140000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,1_59,3,0.015000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,0,13,0.065000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,100,2,1.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,80_99,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,60_79,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,1_59,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,0,0,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,100,63,0.333333
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,80_99,17,0.089947
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,60_79,26,0.137566
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,1_59,12,0.063492
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,0,71,0.375661
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,100,65,0.325000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,80_99,38,0.190000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,60_79,35,0.175000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,1_59,9,0.045000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,0,53,0.265000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,100,114,0.570000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,80_99,19,0.095000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,60_79,21,0.105000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,1_59,7,0.035000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,0,39,0.195000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,100,2,1.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,80_99,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,60_79,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,1_59,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,0,0,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,100,48,0.322148
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,80_99,9,0.060403
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,60_79,7,0.046980
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,1_59,4,0.026846
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,0,81,0.543624
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,100,1,0.010101
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,80_99,3,0.030303
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,60_79,14,0.141414
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,1_59,16,0.161616
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,0,65,0.656566
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,47,0.470000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,80_99,23,0.230000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,60_79,15,0.150000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,1_59,4,0.040000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,0,11,0.110000
c2,沁园春-改革主题,type_e,qwen3.6-plus,100,12,0.184615
c2,沁园春-改革主题,type_e,qwen3.6-plus,80_99,4,0.061538
c2,沁园春-改革主题,type_e,qwen3.6-plus,60_79,3,0.046154
c2,沁园春-改革主题,type_e,qwen3.6-plus,1_59,3,0.046154
c2,沁园春-改革主题,type_e,qwen3.6-plus,0,43,0.661538
