db,db_label,prompt_type,model,issue_type,issue_label,poem_count,poem_ratio,issue_count,avg_count_per_poem
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,85,0.425000,231,1.155000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,12,0.060000,12,0.060000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,unknown_char,未收录字警告,9,0.045000,9,0.045000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,36,0.180000,36,0.180000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,length_mismatch,字数不符,8,0.040000,8,0.040000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,23,0.115000,37,0.185000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,24,0.120000,40,0.200000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,2,0.010000,3,0.015000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,unknown_char,未收录字警告,11,0.055000,11,0.055000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,36,0.180000,36,0.180000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
b1,五词牌-无主题,type_b,glm-5,length_mismatch,字数不符,16,0.163265,16,0.163265
b1,五词牌-无主题,type_b,glm-5,tone_expected_flat,应平实仄,42,0.428571,227,2.316327
b1,五词牌-无主题,type_b,glm-5,tone_expected_oblique,应仄实平,45,0.459184,193,1.969388
b1,五词牌-无主题,type_b,glm-5,rhyme_mismatch,出韵/押韵问题,6,0.061224,14,0.142857
b1,五词牌-无主题,type_b,glm-5,unknown_char,未收录字警告,4,0.040816,4,0.040816
b1,五词牌-无主题,type_b,glm-5,variant_autocorrect,词牌变体智能纠偏,16,0.163265,16,0.163265
b1,五词牌-无主题,type_b,glm-5,other,其他,0,0.000000,0,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,length_mismatch,字数不符,58,0.308511,58,0.308511
b1,五词牌-无主题,type_b,qwen3.6-plus,tone_expected_flat,应平实仄,27,0.143617,75,0.398936
b1,五词牌-无主题,type_b,qwen3.6-plus,tone_expected_oblique,应仄实平,30,0.159574,72,0.382979
b1,五词牌-无主题,type_b,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,10,0.053191,20,0.106383
b1,五词牌-无主题,type_b,qwen3.6-plus,unknown_char,未收录字警告,12,0.063830,12,0.063830
b1,五词牌-无主题,type_b,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,22,0.117021,22,0.117021
b1,五词牌-无主题,type_b,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,length_mismatch,字数不符,33,0.165000,33,0.165000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,tone_expected_flat,应平实仄,106,0.530000,455,2.275000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,97,0.485000,313,1.565000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,11,0.055000,17,0.085000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,29,0.145000,29,0.145000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,length_mismatch,字数不符,10,0.050000,10,0.050000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,77,0.385000,161,0.805000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,53,0.265000,121,0.605000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,4,0.020000,4,0.020000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,34,0.170000,34,0.170000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,length_mismatch,字数不符,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,tone_expected_flat,应平实仄,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,tone_expected_oblique,应仄实平,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,variant_autocorrect,词牌变体智能纠偏,1,0.250000,1,0.250000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,glm-5,length_mismatch,字数不符,26,0.412698,26,0.412698
b2,五词牌-改革主题,type_d,glm-5,tone_expected_flat,应平实仄,14,0.222222,29,0.460317
b2,五词牌-改革主题,type_d,glm-5,tone_expected_oblique,应仄实平,17,0.269841,28,0.444444
b2,五词牌-改革主题,type_d,glm-5,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,glm-5,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,glm-5,variant_autocorrect,词牌变体智能纠偏,11,0.174603,11,0.174603
b2,五词牌-改革主题,type_d,glm-5,other,其他,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,length_mismatch,字数不符,49,0.304348,49,0.304348
b2,五词牌-改革主题,type_d,qwen3.6-plus,tone_expected_flat,应平实仄,35,0.217391,98,0.608696
b2,五词牌-改革主题,type_d,qwen3.6-plus,tone_expected_oblique,应仄实平,32,0.198758,82,0.509317
b2,五词牌-改革主题,type_d,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,11,0.068323,25,0.155280
b2,五词牌-改革主题,type_d,qwen3.6-plus,unknown_char,未收录字警告,0,0.000000,0,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,18,0.111801,18,0.111801
b2,五词牌-改革主题,type_d,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,length_mismatch,字数不符,41,0.205000,41,0.205000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,tone_expected_flat,应平实仄,89,0.445000,392,1.960000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,76,0.380000,298,1.490000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,15,0.075000,27,0.135000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,unknown_char,未收录字警告,1,0.005000,1,0.005000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,35,0.175000,35,0.175000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,length_mismatch,字数不符,11,0.055000,11,0.055000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,45,0.225000,87,0.435000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,38,0.190000,62,0.310000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,4,0.020000,4,0.020000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,unknown_char,未收录字警告,2,0.010000,2,0.010000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,41,0.205000,41,0.205000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,length_mismatch,字数不符,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,tone_expected_flat,应平实仄,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,tone_expected_oblique,应仄实平,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,other,其他,0,0.000000,0,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,length_mismatch,字数不符,63,0.333333,63,0.333333
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,tone_expected_flat,应平实仄,51,0.269841,153,0.809524
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,tone_expected_oblique,应仄实平,47,0.248677,134,0.708995
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,17,0.089947,29,0.153439
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,unknown_char,未收录字警告,1,0.005291,1,0.005291
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,20,0.105820,20,0.105820
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,length_mismatch,字数不符,2,0.010000,2,0.010000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,tone_expected_flat,应平实仄,126,0.630000,823,4.115000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,94,0.470000,680,3.400000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,8,0.040000,10,0.050000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,unknown_char,未收录字警告,1,0.005000,1,0.005000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,length_mismatch,字数不符,1,0.005000,1,0.005000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,76,0.380000,512,2.560000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,68,0.340000,371,1.855000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,9,0.045000,18,0.090000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,unknown_char,未收录字警告,2,0.010000,2,0.010000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,length_mismatch,字数不符,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,tone_expected_flat,应平实仄,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,tone_expected_oblique,应仄实平,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,other,其他,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,length_mismatch,字数不符,53,0.355705,53,0.355705
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,tone_expected_flat,应平实仄,45,0.302013,423,2.838926
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,tone_expected_oblique,应仄实平,36,0.241611,343,2.302013
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,7,0.046980,8,0.053691
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,unknown_char,未收录字警告,3,0.020134,3,0.020134
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,length_mismatch,字数不符,8,0.080808,8,0.080808
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,tone_expected_flat,应平实仄,89,0.898990,879,8.878788
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,77,0.777778,591,5.969697
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,13,0.131313,17,0.171717
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,unknown_char,未收录字警告,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,length_mismatch,字数不符,2,0.020000,2,0.020000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,45,0.450000,159,1.590000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,30,0.300000,108,1.080000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,3,0.030000,5,0.050000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,length_mismatch,字数不符,27,0.415385,27,0.415385
c2,沁园春-改革主题,type_e,qwen3.6-plus,tone_expected_flat,应平实仄,25,0.384615,240,3.692308
c2,沁园春-改革主题,type_e,qwen3.6-plus,tone_expected_oblique,应仄实平,23,0.353846,187,2.876923
c2,沁园春-改革主题,type_e,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,5,0.076923,13,0.200000
c2,沁园春-改革主题,type_e,qwen3.6-plus,unknown_char,未收录字警告,1,0.015385,1,0.015385
c2,沁园春-改革主题,type_e,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
